pitcher,player_name,game_year,pitch_type,n,release_speed,arm_angle,extension_ratio
424144,"Perez, Oliver",2020,FF,39,89.52051282051282,55.26413220322498,1.0092307692307694
424144,"Perez, Oliver",2020,SI,121,89.95950413223144,71.24469043090737,1.013421487603306
424144,"Perez, Oliver",2021,FF,12,88.925,56.3834858038173,1.002666666666667
424144,"Perez, Oliver",2021,SI,26,89.21153846153844,69.39950521561589,1.0036923076923077
424144,"Perez, Oliver",2021,FF,12,88.925,56.3834858038173,1.002666666666667
424144,"Perez, Oliver",2021,SI,26,89.21153846153844,69.39950521561589,1.0036923076923077
424144,"Perez, Oliver",2020,FF,39,89.52051282051282,55.26413220322498,1.0092307692307694
424144,"Perez, Oliver",2020,SI,121,89.95950413223144,71.24469043090737,1.013421487603306
424144,"Perez, Oliver",2022,SI,43,88.37441860465115,70.74920127385903,0.9879069767441863
425794,"Wainwright, Adam",2020,FF,86,89.15930232558141,44.58723751162039,1.0189579040329708
425794,"Wainwright, Adam",2020,SI,252,89.27539682539683,46.59013298194991,1.0174201326100067
425794,"Wainwright, Adam",2022,FF,292,87.9657534246575,43.48396972910631,0.9890064158141164
425794,"Wainwright, Adam",2022,SI,871,88.58323765786459,44.40801010203446,0.988667180165391
425794,"Wainwright, Adam",2022,FF,292,87.9657534246575,43.48396972910631,0.9890064158141164
425794,"Wainwright, Adam",2022,SI,871,88.58323765786459,44.40801010203446,0.988667180165391
425794,"Wainwright, Adam",2020,FF,86,89.15930232558141,44.58723751162039,1.0189579040329708
425794,"Wainwright, Adam",2020,SI,252,89.27539682539683,46.59013298194991,1.0174201326100067
425794,"Wainwright, Adam",2023,FF,169,85.69112426035507,42.98630856760791,0.99237510298854
425794,"Wainwright, Adam",2023,SI,535,86.89943925233645,45.49502767598897,0.9950644741511908
425794,"Wainwright, Adam",2021,FF,291,89.00721649484544,42.534554591157104,0.997938144329899
425794,"Wainwright, Adam",2021,SI,862,89.05580046403705,44.23346174747958,0.9969632000939811
425794,"Wainwright, Adam",2021,FF,291,89.00721649484544,42.534554591157104,0.997938144329899
425794,"Wainwright, Adam",2021,SI,862,89.05580046403705,44.23346174747958,0.9969632000939811
425794,"Wainwright, Adam",2023,FF,169,85.69112426035507,42.98630856760791,0.99237510298854
425794,"Wainwright, Adam",2023,SI,535,86.89943925233645,45.49502767598897,0.9950644741511908
425844,"Greinke, Zack",2023,FF,589,89.54584040747027,42.99541656987163,0.9756986188225574
425844,"Greinke, Zack",2023,SI,348,89.8014367816091,47.27883620468694,0.9826188257222739
425844,"Greinke, Zack",2023,FF,589,89.54584040747027,42.99541656987163,0.9756986188225574
425844,"Greinke, Zack",2023,SI,348,89.8014367816091,47.27883620468694,0.9826188257222739
425844,"Greinke, Zack",2021,FF,1026,88.93625730994151,39.94011826010518,0.9715188873083642
425844,"Greinke, Zack",2021,SI,147,89.530612244898,42.51981051213579,0.9729729729729726
425844,"Greinke, Zack",2022,FF,870,89.15494252873565,43.872584821714305,0.9616029822926396
425844,"Greinke, Zack",2022,SI,51,89.43529411764706,38.22702346179978,0.9717011128775839
425844,"Greinke, Zack",2022,FF,870,89.15494252873565,43.872584821714305,0.9616029822926396
425844,"Greinke, Zack",2022,SI,51,89.43529411764706,38.22702346179978,0.9717011128775839
425844,"Greinke, Zack",2020,FF,432,88.13263888888888,40.427124171240855,0.9796171171171143
425844,"Greinke, Zack",2021,FF,1026,88.93625730994151,39.94011826010518,0.9715188873083642
425844,"Greinke, Zack",2021,SI,147,89.530612244898,42.51981051213579,0.9729729729729726
429722,"Santana, Ervin",2021,FF,479,93.3594989561587,46.15271068368823,0.9751735033572181
430935,"Hamels, Cole",2020,FF,8,88.39999999999999,52.51602030434853,1.0203947368421051
430935,"Hamels, Cole",2020,SI,5,87.94,53.385238797990795,1.0294736842105263
430935,"Hamels, Cole",2020,FF,8,88.39999999999999,52.51602030434853,1.0203947368421051
430935,"Hamels, Cole",2020,SI,5,87.94,53.385238797990795,1.0294736842105263
431148,"Kazmir, Scott",2021,FF,113,92.41858407079644,41.400472040879386,0.9660766961651925
433589,"Petit, Yusmeiro",2020,FF,134,88.14477611940302,44.124125060836214,1.1665099161725616
433589,"Petit, Yusmeiro",2021,FF,489,87.60040899795496,43.56829699260517,1.1688041011849737
434378,"Verlander, Justin",2020,FF,40,94.92500000000004,45.936420280819256,0.9662337662337659
434378,"Verlander, Justin",2023,FF,1302,94.30176651305683,32.395922528780275,0.932036626967503
434378,"Verlander, Justin",2022,FF,1314,95.02062404870631,35.49238091528036,0.9473047500444781
434378,"Verlander, Justin",2024,FF,769,93.46371911573476,32.63491538071169,0.9254589363822155
434671,"Sanchez, Anibal",2022,FF,207,89.84492753623188,37.686579146866315,1.0432367149758468
434671,"Sanchez, Anibal",2022,SI,235,89.11702127659571,38.5724127982007,1.054468085106384
434671,"Sanchez, Anibal",2020,FF,260,89.29846153846155,39.505260270293675,1.0466025641025662
434671,"Sanchez, Anibal",2020,SI,77,89.5701298701299,40.05418754081046,1.0608225108225107
434671,"Sanchez, Anibal",2020,FF,260,89.29846153846155,39.505260270293675,1.0466025641025662
434671,"Sanchez, Anibal",2020,SI,77,89.5701298701299,40.05418754081046,1.0608225108225107
434671,"Sanchez, Anibal",2022,FF,207,89.84492753623188,37.686579146866315,1.0432367149758468
434671,"Sanchez, Anibal",2022,SI,235,89.11702127659571,38.5724127982007,1.054468085106384
444468,"Rondon, Hector",2020,FF,191,95.66387434554976,45.30511681175393,1.0268481675392676
